#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Oct 28 00:35:45 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       bft.ncd
#OUTPUT FILE:      bft_routed_pad.csv
#PART TYPE:        xc7k70t
#SPEED GRADE:      -2
#PACKAGE:          fbg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,MGTAVTT,,,,,,,,,,,,
A3,,OPAD,MGTXTXN3_115,UNUSED,,,,,,,,,,,
A4,,OPAD,MGTXTXP3_115,UNUSED,,,,,,,,,,,
A5,,,GND,,,,,,,,,,,,
A6,,,MGTAVCC,,,,,,,,,,,,
A7,,,GND,,,,,,,,,,,,
A8,,IOB33S,IO_L21N_T3_DQS_16,UNUSED,,16,,,,,,,,,
A9,,IOB33M,IO_L21P_T3_DQS_16,UNUSED,,16,,,,,,,,,
A10,,IOB33S,IO_L23N_T3_16,UNUSED,,16,,,,,,,,,
A11,,IOB33M,IO_L23P_T3_16,UNUSED,,16,,,,,,,,,
A12,,,GND,,,,,,,,,,,,
A13,,IOB33M,IO_L4P_T0_AD9P_15,UNUSED,,15,,,,,,,,,
A14,,IOB33S,IO_L4N_T0_AD9N_15,UNUSED,,15,,,,,,,,,
A15,,IOB33S,IO_L9N_T1_DQS_AD11N_15,UNUSED,,15,,,,,,,,,
A16,,IOB33S,IO_L8N_T1_AD3N_15,UNUSED,,15,,,,,,,,,
A17,,,VCCO_15,,,15,,,,,any******,,,,
A18,,IOB33S,IO_L10N_T1_AD4N_15,UNUSED,,15,,,,,,,,,
A19,,IOB33S,IO_L20N_T3_A19_15,UNUSED,,15,,,,,,,,,
A20,,IOB33M,IO_L22P_T3_A17_15,UNUSED,,15,,,,,,,,,
A21,,IOB33S,IO_L22N_T3_A16_15,UNUSED,,15,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,,IOB18M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
AA2,,,GND,,,,,,,,,,,,
AA3,,IOB18M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
AA4,,IOB18M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
AA5,,IOB18M,IO_L1P_T0_33,UNUSED,,33,,,,,,,,,
AA6,,IOB18M,IO_L3P_T0_DQS_33,UNUSED,,33,,,,,,,,,
AA7,,,VCCO_33,,,33,,,,,any******,,,,
AA8,,IOB18S,IO_L5N_T0_33,UNUSED,,33,,,,,,,,,
AA9,,IOB18M,IO_L5P_T0_33,UNUSED,,33,,,,,,,,,
AA10,,IOB18M,IO_L4P_T0_33,UNUSED,,33,,,,,,,,,
AA11,,IOB18M,IO_L20P_T3_33,UNUSED,,33,,,,,,,,,
AA12,,,GND,,,,,,,,,,,,
AA13,,IOB18S,IO_L21N_T3_DQS_33,UNUSED,,33,,,,,,,,,
AA14,,IOB33M,IO_L18P_T2_13,UNUSED,,13,,,,,,,,,
AA15,,IOB33S,IO_L18N_T2_13,UNUSED,,13,,,,,,,,,
AA16,,IOB33M,IO_L17P_T2_13,UNUSED,,13,,,,,,,,,
AA17,,,VCCO_13,,,13,,,,,1.80,,,,
AA18,,IOB33M,IO_L15P_T2_DQS_13,UNUSED,,13,,,,,,,,,
AA19,,IOB33M,IO_L10P_T1_13,UNUSED,,13,,,,,,,,,
AA20,wbDataForInput,IOB,IO_L8P_T1_13,INPUT,LVCMOS18*,13,,,,NONE,,LOCATED,NO,NONE,
AA21,wbDataForOutput,IOB,IO_L9P_T1_DQS_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
AA22,,,GND,,,,,,,,,,,,
AB1,,IOB18S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
AB2,,IOB18S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
AB3,,IOB18S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
AB4,,,VCCO_34,,,34,,,,,any******,,,,
AB5,,IOB18S,IO_L1N_T0_33,UNUSED,,33,,,,,,,,,
AB6,,IOB18S,IO_L3N_T0_DQS_33,UNUSED,,33,,,,,,,,,
AB7,,IOB18S,IO_L2N_T0_33,UNUSED,,33,,,,,,,,,
AB8,,IOB18M,IO_L2P_T0_33,UNUSED,,33,,,,,,,,,
AB9,,,GND,,,,,,,,,,,,
AB10,,IOB18S,IO_L4N_T0_33,UNUSED,,33,,,,,,,,,
AB11,,IOB18S,IO_L20N_T3_33,UNUSED,,33,,,,,,,,,
AB12,,IOB18S,IO_L22N_T3_33,UNUSED,,33,,,,,,,,,
AB13,,IOB18M,IO_L22P_T3_33,UNUSED,,33,,,,,,,,,
AB14,,,VCCO_13,,,13,,,,,1.80,,,,
AB15,,IOB33M,IO_L16P_T2_13,UNUSED,,13,,,,,,,,,
AB16,,IOB33S,IO_L16N_T2_13,UNUSED,,13,,,,,,,,,
AB17,,IOB33S,IO_L17N_T2_13,UNUSED,,13,,,,,,,,,
AB18,,IOB33S,IO_L15N_T2_DQS_13,UNUSED,,13,,,,,,,,,
AB19,,,GND,,,,,,,,,,,,
AB20,,IOB33S,IO_L10N_T1_13,UNUSED,,13,,,,,,,,,
AB21,wbWriteOut,IOB,IO_L8N_T1_13,INPUT,LVCMOS18*,13,,,,NONE,,LOCATED,NO,NONE,
AB22,error,IOB,IO_L9N_T1_DQS_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,YES,NONE,
B1,,OPAD,MGTXTXN2_115,UNUSED,,,,,,,,,,,
B2,,OPAD,MGTXTXP2_115,UNUSED,,,,,,,,,,,
B3,,,GND,,,,,,,,,,,,
B4,,,GND,,,,,,,,,,,,
